Код ОЗ,Краткое название ОЗ,Полное название ОЗ ,Адрес ОЗ
1000,НЦ ОХРАНЫ МАТЕРИНСТВА И ДЕТСТВА,НАЦИОНАЛЬНЫЙ ЦЕНТР ОХРАНЫ МАТЕРИНСТВА И ДЕТСТВА,'г.Бишкек (Лен. р-н), 720038, ул. Ахунбаева, 190'
1001,СТОМПОЛИКЛИНИКА №4,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №4,'г.Бишкек (Свердл. р-н), 720065, пр. Чуй, 105'
1002,СТОМПОЛИКЛИНИКА №5,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №5,'г.Бишкек (Окт. р-н), 720075, ул. Жукеева-Пудовкина, 83'
1004,НП ОБЪЕДИНЕНИЕ "ПРОФ. МЕДИЦИНА",НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ "ПРОФИЛАКТИЧЕСКАЯ МЕДИЦИНА",'г.Бишкек (Перв. р-н), 720005, ул. Байтик Баатыра, 34'
1005,ГОРОДСКОЙ  ЦЕНТР УКРЕПЛЕНИЯ ЗДОРОВЬЯ,ГОРОДСКОЙ  ЦЕНТР УКРЕПЛЕНИЯ ЗДОРОВЬЯ,'г.Бишкек (Перв. р-н), 720010, ул. Манаса, 12'
1006,ДЛОИМТ,ДЕПАРТАМЕНТ ЛЕКАРСТВЕННОГО ОБЕСПЕЧЕНИЯ И МЕДИЦИНСКОЙ ТЕХНИКИ,'г.Бишкек (Лен. р-н), 720044, ул. 3-линия, 25'
1007,ЦЕНТР ЭКСТРЕННОЙ МЕДИЦИНЫ г.БИШКЕК,ЦЕНТР ЭКСТРЕННОЙ МЕДИЦИНЫ г.БИШКЕК,'г.Бишкек (Перв. р-н), 720001, ул. Исанова, 105'
1009,ГОРОДСКОЙ ЦЕНТР ПРОФИЛАКТИКИ "СПИД",ГОРОДСКОЙ ЦЕНТР ПРОФИЛАКТИКИ ПО БОРЬБЕ СО СПИДОМ,'г.Бишкек (Окт. р-н), 720005, ул. Джантошева, 117'
1010,АВТОБАЗА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ,АВТОБАЗА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ МЭЭРИИ Г.БИШКЕК,'г.Бишкек (Окт. р-н), 720082, ул. Горького, 1'
1011,РЦ УКРЕПЛЕНИЯ ЗДОРОВЬЯ,РЕСПУБЛИКАНСКИЙ ЦЕНТР УКРЕПЛЕНИЯ ЗДОРОВЬЯ,'г.Бишкек (Перв. р-н), 720040, ул. Логвиненко, 8'
1012,РЦ КРОВИ,РЕСПУБЛИКАНСКИЙ ЦЕНТР КРОВИ,'г.Бишкек (Перв. р-н), 720044, пр. Манаса, 60'
1013,БИШКЕКСКИЙ  ГОРОДСКОЙ ЦПЗИГСЭН,ЦЕНТР ПРОФИЛАКТИКИ ЗАБОЛЕВАНИЯ И ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА  ГОРОДА БИШКЕК,'г.Бишкек (Перв. р-н), 720005, ул. Байтик Баатыра, 36а'
1014,МАК,МЕДИЦИНСКАЯ АККРЕДИТАЦИОННАЯ КОМИССИЯ,г.Бишкек (Перв. р-н)
1015,МИНЗДРАВ,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ КЫРГЫЗСКОЙ РЕСПУБЛИКИ,'г.Бишкек (Перв. р-н), 720040, ул. Московская, 148'
1016,ГСВ №31,ГРУППА №31,г.Бишкек (Лен. р-н)
1017,ГСВ  №32,ГРУППА  №32,'г.Бишкек (Лен. р-н), 720010, ул. Токтогула, 250'
1020,ГОРОДСКОЙ ЦЕНТР БОРЬБЫ С ТУБЕРКУЛЕЗОМ,ГОРОДСКОЙ ЦЕНТР БОРЬБЫ С ТУБЕРКУЛЕЗОМ,'г.Бишкек (Перв. р-н), 720040, ул. Боконбаева, 137'
1021,ГСВ №6,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6,'г.Бишкек (Свердл. р-н), ул. Уч-Тулга'
1022,РНМБ,РЕСПУБЛИКАНСКАЯ НАУЧНО  МЕДИЦИНСКАЯ БИБЛИОТЕКА,'г.Бишкек (Перв. р-н), ул. Тоголок Молдо, 1'
1023,ГСВ №11,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11,г.Бишкек (Свердл. р-н)
1024,ГСВ №15,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №15,'г.Бишкек (Свердл. р-н), жилмассив Кара-Джыгач'
1025,ГСВ №15,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №15,'г.Бишкек (Свердл. р-н), ул. восемь'
