КодОЗ,Кол-во коек,Врачи,Средний медперсонал
1000,575,310,544
1001,,,
1002,,,
1004,,,
1005,,,
1006,,,
1007,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,,,
1020,,,
1021,,,
1022,,,
1023,,,
1024,,,
1025,,,
1028,,,
1029,,,
1031,,,
1033,0,394,510
1034,0,325,393
1035,0,577,721
1036,0,370,508
1055,,,
1068,,,
1111,,,
1172,,,
1173,,,
1174,,,
1175,,,
1176,,,
1182,,,
1185,,,
1186,,,
1187,,,
1189,,,
1192,,,
1193,,,
1198,,,
1200,,,
1201,,,
1203,,,
1204,,,
1205,,,
1206,,,
1207,,,
1208,,,
1211,,,
1214,,,
1216,,,
1218,,,
1219,,,
1220,,,
1221,,,
1222,,,
1223,,,
1224,,,
1225,,,
1226,,,
1227,,,
1228,,,
1229,,,
1230,,,
1231,,,
1232,,,
1233,,,
1234,,,
1235,,,
1236,,,
1237,,,
1238,,,
1239,,,
1240,,,
1241,,,
1242,,,
1243,,,
1244,,,
1245,,,
1246,,,
1253,,,
1254,,,
1257,,,
1258,,,
1261,,,
1262,,,
1263,,,
1264,,,
1271,,,
1272,,,
1273,,,
1274,,,
1277,,,
1278,,,
1279,,,
1280,,,
1281,,,
1283,,,
1284,,,
1285,,,
1290,170,29,60
1293,85,51,110
1294,0,96,70
1297,,,
1298,160,86,187
1299,255,103,240
1300,180,50,71
1303,40,5,19
1304,195,61,95
1305,400,165,319
1307,,,
1309,350,84,206
1310,456,194,370
1311,70,58,87
1314,70,39,59
1315,460,94,191
1318,230,127,250
1320,,,
1321,,,
1322,,,
1324,,,
1325,50,28,41
1328,349,163,261
1329,1070,397,899
1331,400,90,258
1332,,,
1333,,,
1335,,,
1337,,,
1358,64,45,75
1389,294,121,246
1401,,,
1402,,,
1405,445,154,350
1407,,,
1408,,,
1413,,,
1420,,,
1422,,,
1426,,,
1436,,,
1469,,,
1556,,,
1557,,,
1558,,,
1561,,,
1562,,,
1563,,,
1566,,,
1567,,,
1568,,,
1569,,,
8270,350,119,253
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2009,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
2024,,,
2025,,,
2026,,,
2027,,,
2028,,,
2029,,,
2030,,,
2031,,,
2032,,,
2033,,,
2034,,,
2035,,,
2036,,,
2037,,,
2038,,,
2039,,,
2040,,,
2041,,,
2042,,,
2043,,,
2044,,,
2045,,,
2046,,,
2047,,,
2048,,,
2049,,,
2050,,,
2051,,,
2053,,,
2054,,,
2055,,,
2056,,,
2057,,,
2058,,,
2059,,,
2060,,,
2061,,,
2062,,,
2063,,,
2064,,,
2065,,,
2066,,,
2067,,,
2068,,,
2069,,,
2070,,,
2071,,,
2072,,,
2073,,,
2074,,,
2075,,,
2076,,,
2077,,,
2078,,,
2079,,,
2080,,,
2081,,,
2082,,,
2083,,,
2084,,,
2085,,,
2086,,,
2087,,,
2088,,,
2089,,,
2090,,,
2091,,,
2092,,,
2093,,,
2094,,,
2095,,,
2096,,,
2097,,,
2098,,,
2099,,,
2100,547,185,495
2101,,,
2102,,,
2103,,,
2104,,,
2105,,,
2106,,,
2107,,,
2108,,,
2109,,,
2110,,,
2111,,,
2112,,,
2113,,,
2114,,,
2115,,,
2116,,,
2117,,,
2118,,,
2119,,,
2120,,,
2121,,,
2122,,,
2123,,,
2124,,,
2125,,,
2127,,,
2130,,,
2131,,,
2133,,,
2135,,,
2136,155,39,109
2137,120,12,33
2138,,,
2139,,,
2142,100,15,17
2143,,,
2144,,,
2147,60,13,19
2148,,,
2149,,,
2151,,,
2152,,,
2153,,,
2154,,,
2155,,,
2156,,,
2157,,,
2158,,,
2159,,,
2160,,,
2161,,,
2162,,,
2164,,,
2178,,,
2179,,,
2183,,,
2184,100,41,116
