Город,Район ,Айыл кенеш,село/город,Код ОЗ,Краткое название ОЗ  ,Полное название ОЗ,Вид ,Тип организации 
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1219,ГСВ №1,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1220,ГСВ №2,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1221,ГСВ №3,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1222,ГСВ №4,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1223,ГСВ №5,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1224,ГСВ №6,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1225,ГСВ №7,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1226,ГСВ №8,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1227,ГСВ №9,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1228,ГСВ №10,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №10,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1229,ГСВ №11,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1230,ГСВ №12,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1231,ГСВ №13,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №13,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1232,ГСВ №14,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №14,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1233,ГСВ №15,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №15,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1234,ГСВ №16,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №16,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1235,ГСВ №17,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №17,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1236,ГСВ №18,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №18,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1237,ГСВ №19,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №19,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1238,ГСВ №20,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №20,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1239,ГСВ №21,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №21,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1240,ГСВ №22,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №22,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1241,ГСВ №23,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №23,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1242,ГСВ №24,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №24,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1243,ГСВ №25,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №25,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1244,ГСВ №26,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №26,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1245,ГСВ №27,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №27,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1246,ГСВ №28,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №28,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1055,ГСВ №29,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №29,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1000,НЦ ОХРАНЫ МАТЕРИНСТВА И ДЕТСТВА,НАЦИОНАЛЬНЫЙ ЦЕНТР ОХРАНЫ МАТЕРИНСТВА И ДЕТСТВА,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1016,ГСВ №31,ГРУППА №31,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1017,ГСВ  №32,ГРУППА  №32,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1035,ОЦСМ ЛЕНИНСКОГО РАЙОНА Г.БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  ЛЕНИНСКОГО РАЙОНА Г.БИШКЕК,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1297,СТОМПОЛИКЛИНИКА №2,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №2,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1298,КЛИНИЧЕСКИЙ  РОДДОМ №2,КЛИНИЧЕСКИЙ РОДИЛЬНЫЙ ДОМ №2,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1299,НАЦИОНАЛЬНЫЙ ХИРУРГИЧЕСКИЙ ЦЕНТР,НАЦИОНАЛЬНЫЙ ХИРУРГИЧЕСКИЙ ЦЕНТР,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1389,ГКБ №1,ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №1,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,,г.Бишкек (Лен. р-н),1469,ГСВ №30,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №30,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,Чон-Арыкский поселковый кенеш,пгт.Чон-Арык,1253,ГСВ №34,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №34,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Ленинский район,Чон-Арыкский поселковый кенеш,пгт.Чон-Арык,1254,ГСВ №35,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №35,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1257,ГСВ №1,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1258,ГСВ №2,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1261,ГСВ №5,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1262,ГСВ №6,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6,Лечебно-профилактические организации,Государственные организации Минздрава
